Frame,FPS,CPU (%),Memory (MB),RGB Capture (s),Depth Capture (s),Fusion (s)
0,9.488452480867245,0.0,429.375,0.0008215904235839844,9.059906005859375e-05,0.004399538040161133
1,5.036085729723239,100.6,463.09375,0.00459599494934082,0.0001323223114013672,0.0006988048553466797
2,8.179554934971986,73.5,464.09375,0.006315469741821289,0.09328389167785645,0.00039386749267578125
